keyword,title,abstract,link,published,critical_category
Neoliberalism,"The Quantified Body: Identity, Empowerment, and Control in Smart
  Wearables","In an era where the body is increasingly translated into streams of biometric
data, smart wearables have become not merely tools of personal health tracking
but infrastructures of predictive governance. This paper examines how wearable
technologies reconfigure bodily autonomy by embedding users within
feedback-driven systems of self-surveillance, data extraction, and algorithmic
control. Drawing on Deleuze's concept of the control society, Zuboff's theory
of surveillance capitalism, and Couldry and Mejias's notion of data
colonialism, I argue that smart wearables shift the discourse of health
empowerment toward a modality of compliance aligned with neoliberal values of
productivity, efficiency, and self-discipline. Rather than offering transparent
consent, these technologies operate within what scholars describe as a
post-consent regime -- where asymmetrical data relations are normalized through
seamless design and behavioral nudging. Through interdisciplinary analysis, the
paper further explores alternative trajectories for wearable design and
governance, from historical examples of care-centered devices to contemporary
anti-extractive practices and collective data justice frameworks. Ultimately,
it calls for a paradigm shift from individual optimization to democratic
accountability and structural reform in the governance of bodily data.",http://arxiv.org/abs/2506.15991v3,2025-06-19T03:24:17Z,"Capitalism, Automation & Algorithmic Culture"
Neoliberalism,"The Urban Model Platform: A Public Backbone for Modeling and Simulation
  in Urban Digital Twins","Urban digital twins are increasingly perceived as a way to pool the growing
digital resources of cities for the purpose of a more sustainable and
integrated urban planning. Models and simulations are central to this
undertaking: They enable ""what if?"" scenarios, create insights and describe
relationships between the vast data that is being collected. However, the
process of integrating and subsequently using models in urban digital twins is
an inherently complex undertaking. It raises questions about how to represent
urban complexity, how to deal with uncertain assumptions and modeling
paradigms, and how to capture underlying power relations. Existent approaches
in the domain largely focus on monolithic and centralized solutions in the
tradition of neoliberal city-making, oftentimes prohibiting pluralistic and
open interoperable models. Using a participatory design for participatory
systems approach together with the City of Hamburg, Germany, we find that an
open Urban Model Platform can function both as a public technological backbone
for modeling and simulation in urban digital twins and as a socio-technical
framework for a collaborative and pluralistic representation of urban
processes. Such a platform builds on open standards, allows for a decentralized
integration of models, enables communication between models and supports a
multi-model approach to representing urban systems.",http://arxiv.org/abs/2506.10964v3,2025-06-12T17:58:10Z,AI & Mental Health / Digital Twin
Neoliberalism,"More of the Same: Persistent Representational Harms Under Increased
  Representation","To recognize and mitigate the harms of generative AI systems, it is crucial
to consider who is represented in the outputs of generative AI systems and how
people are represented. A critical gap emerges when naively improving who is
represented, as this does not imply bias mitigation efforts have been applied
to address how people are represented. We critically examined this by
investigating gender representation in occupation across state-of-the-art large
language models. We first show evidence suggesting that over time there have
been interventions to models altering the resulting gender distribution, and we
find that women are more represented than men when models are prompted to
generate biographies or personas. We then demonstrate that representational
biases persist in how different genders are represented by examining
statistically significant word differences across genders. This results in a
proliferation of representational harms, stereotypes, and neoliberalism ideals
that, despite existing interventions to increase female representation,
reinforce existing systems of oppression.",http://arxiv.org/abs/2503.00333v1,2025-03-01T03:45:35Z,"Capitalism, Automation & Algorithmic Culture"
Neoliberalism,"A Panopticon on My Wrist: The Biopower of Big Data Visualization for
  Wearables","Big data visualization - the visual-spatial display of quantitative
information culled from huge data sets - is now firmly embedded within the
everyday experiences of people across the globe, yet scholarship on it remains
surprisingly small. Within this literature, critical theorizations of big data
visualizations are rare, as digital positivist perspectives dominate. This
paper offers a critical, design-informed perspective on big data visualization
in wearable health tracking ecosystems like FitBit. I argue that such
visualizations are tools of individualized, neoliberal governance that operate
largely through experiences of seduction and addiction to facilitate
participation in the corporate capture and monetization of personal
information. Exploration of my personal experience of the FitBit ecosystem
illuminates this argument and emphasizes the capacity for harm to individuals
using these ecosystems, leading to an exploration of the complex professional
challenges for user experience designers working on visualizations within the
ecosystems of wearables.",http://arxiv.org/abs/2412.14176v1,2024-12-03T07:58:52Z,"Capitalism, Automation & Algorithmic Culture"
Neoliberalism,Other Worlds: Using AI to Revisit Cybersyn and Rethink Economic Futures,"Neoliberalism has become orthodoxy in the present, erasing competing
paradigms and alternative imaginings. Chile's radical Cybersyn project from
1971 to 1973 offers a departure point for an alternative path, albeit one that
was abruptly and violently extinguished. We revisit this moment by fine-tuning
AI language models on the words and writing of Salvador Allende, the Chilean
President, and Stafford Beer, the cyberneticist who helped to design the
project. We conduct interviews with these simulated personas, focusing on how
their revolutionary ideas might be taken up in the present. We then use an AI
model to generate five-year-plans from 1973 to the present, simulating an
alternate history guided by Cybersyn and a progressive agenda. We frame these
interventions as socialist infrastructuring that cultivates a more expansive
socialist imagining. This work is not about the viability of planned economies,
but about the 'inspirability' of exploring other value-systems in the present,
allowing us to break out of our future-on-rails to envision alternative ways of
organizing economy and society.",http://arxiv.org/abs/2411.05992v1,2024-11-08T22:06:04Z,"Capitalism, Automation & Algorithmic Culture"
Stress,"The Potential of Olfactory Stimuli in Stress Reduction through Virtual
  Reality","Immersive virtual reality (VR) is a promising tool for stress reduction and
relaxation, traditionally relying on visual and auditory stimuli. This study
examines the role of olfactory stimuli in enhancing these effects, using a
randomized within-subject design. Thirty participants aged 18-60 experienced VR
scenarios simulating a calming seaside environment, with sessions lasting 45
minutes, in two conditions: with and without a ""Beach"" essential oil scent
(Yankee Candle) administered via diffuser. Stress and relaxation were assessed
through self-reported surveys and physiological measures, specifically
ECG-based heart rate variability (HRV). Results showed no significant
difference in self-reported relaxation scores (p=0.371) between conditions, but
HRV analysis revealed a significant stress reduction (p=0.002) with olfactory
input, with HF increasing 108% from the Math Stress Test to the scented
relaxation condition, compared to 44% without scent. Additionally, 71.4% of
participants expressed willingness to use olfactory-enhanced VR for relaxation,
suggesting practical appeal. These findings indicate that olfactory stimuli may
enhance relaxation subconsciously, underscoring the importance of multisensory
integration in VR. Future work could explore personalized scents and long-term
effects to optimize VR- based interventions for emotional and physical
well-being.",http://arxiv.org/abs/2507.07911v1,2025-07-10T16:45:10Z,General Tech & Society
Stress,"Hi-d maps: An interactive visualization technique for multi-dimensional
  categorical data","In this paper, we present Hi-D maps, a novel method for the visualization of
multi-dimensional categorical data. Our work addresses the scarcity of
techniques for visualizing a large number of data-dimensions in an effective
and space-efficient manner. We have mapped the full data-space onto a 2D
regular polygonal region. The polygon is cut hierarchically with lines parallel
to a user-controlled, ordered sequence of sides, each representing a dimension.
We have used multiple visual cues such as orientation, thickness, color,
countable glyphs, and text to depict cross-dimensional information. We have
added interactivity and hierarchical browsing to facilitate flexible
exploration of the display: small areas can be scrutinized for details. Thus,
our method is also easily extendable to visualize hierarchical information. Our
glyph animations add an engaging aesthetic during interaction. Like many
visualizations, Hi-D maps become less effective when a large number of
dimensions stresses perceptual limits, but Hi-D maps may add clarity before
those limits are reached.",http://arxiv.org/abs/2507.07890v1,2025-07-10T16:20:37Z,General Tech & Society
Stress,"Opting Out of Generative AI: a Behavioral Experiment on the Role of
  Education in Perplexity AI Avoidance","The rise of conversational AI (CAI), powered by large language models, is
transforming how individuals access and interact with digital information.
However, these tools may inadvertently amplify existing digital inequalities.
This study investigates whether differences in formal education are associated
with CAI avoidance, leveraging behavioral data from an online experiment (N =
1,636). Participants were randomly assigned to a control or an
information-seeking task, either a traditional online search or a CAI
(Perplexity AI). Task avoidance (operationalized as survey abandonment or
providing unrelated responses during task assignment) was significantly higher
in the CAI group (51%) compared to the search (30.9%) and control (16.8%)
groups, with the highest CAI avoidance among participants with lower education
levels (~74.4%). Structural equation modeling based on the theoretical
framework UTAUT2 and LASSO regressions reveal that education is strongly
associated with CAI avoidance, even after accounting for various cognitive and
affective predictors of technology adoption. These findings underscore
education's central role in shaping AI adoption and the role of self-selection
biases in AI-related research, stressing the need for inclusive design to
ensure equitable access to emerging technologies.",http://arxiv.org/abs/2507.07881v1,2025-07-10T16:05:11Z,AI Alignment & Cognitive Governance
Stress,"Membrane-mediated force transduction: Stick-slip motion of vesicles with
  fluid membranes","How internal forces are transduced into motion through soft, fluid membranes
remains a fundamental question in the study of active systems. To investigate
this coupling, we develop a minimal system consisting of a single ferromagnetic
particle encapsulated within a lipid vesicle with controlled membrane
composition and phase behavior. An external rotating magnetic field actuates
the particle, which rotates and translates along the inner membrane leaflet.
This motion generates local slip in the membrane; near a substrate, the slip
creates a shear gradient across the lubrication gap that propels the vesicle
forward. Propulsion is intermittent and strongest when the particle moves near
the vesicle bottom, where stress transmission is most effective. We find that
the coupling between internal flows and vesicle motion is highly sensitive to
membrane elasticity, excess area, and phase coexistence. Local membrane
deformation and flow dissipate part of the stress, limiting the efficiency of
force transduction. Additionally, membrane fluctuations and external boundaries
reduce particle mobility, and in phase-separated membranes, line tension at
domain boundaries deflects the particle and gradually reorients membrane
structure. These results demonstrate that lipid membranes not only transmit
internal stresses but also remodel themselves in response, actively shaping the
dynamics of force transduction and motion in active systems.",http://arxiv.org/abs/2507.07880v1,2025-07-10T16:04:29Z,General Tech & Society
Stress,"Homeostatic Adaptation of Optimal Population Codes under Metabolic
  Stress","Information processing in neural populations is inherently constrained by
metabolic resource limits and noise properties, with dynamics that are not
accurately described by existing mathematical models. Recent data, for example,
shows that neurons in mouse visual cortex go into a ""low power mode"" in which
they maintain firing rate homeostasis while expending less energy. This
adaptation leads to increased neuronal noise and tuning curve flattening in
response to metabolic stress. We have developed a theoretical population coding
framework that captures this behavior using two novel, surprisingly simple
constraints: an approximation of firing rate homeostasis and an energy limit
tied to noise levels via biophysical simulation. A key feature of our
contribution is an energy budget model directly connecting adenosine
triphosphate (ATP) use in cells to a fully explainable mathematical framework
that generalizes existing optimal population codes. Specifically, our
simulation provides an energy-dependent dispersed Poisson noise model, based on
the assumption that the cell will follow an optimal decay path to produce the
least-noisy spike rate that is possible at a given cellular energy budget. Each
state along this optimal path is associated with properties (resting potential
and leak conductance) which can be measured in electrophysiology experiments
and have been shown to change under prolonged caloric deprivation. We
analytically derive the optimal coding strategy for neurons under varying
energy budgets and coding goals, and show how our method uniquely captures how
populations of tuning curves adapt while maintaining homeostasis, as has been
observed empirically.",http://arxiv.org/abs/2507.07874v1,2025-07-10T15:58:57Z,AI Alignment & Cognitive Governance
Technostress,"AI-Driven Feedback Loops in Digital Technologies: Psychological Impacts
  on User Behaviour and Well-Being","The rapid spread of digital technologies has produced data-driven feedback
loops, wearable devices, social media networks, and mobile applications that
shape user behavior, motivation, and mental well-being. While these systems
encourage self-improvement and the development of healthier habits through
real-time feedback, they also create psychological risks such as technostress,
addiction, and loss of autonomy. The present study also aims to investigate the
positive and negative psychological consequences of feedback mechanisms on
users' behaviour and well-being. Employing a descriptive survey method, the
study collected data from 200 purposely selected users to assess changes in
behaviour, motivation, and mental well-being related to health, social, and
lifestyle applications. Results indicate that while feedback mechanisms
facilitate goal attainment and social interconnection through streaks and
badges, among other components, they also enhance anxiety, mental weariness,
and loss of productivity due to actions that are considered feedback-seeking.
Furthermore, test subjects reported that their actions are unconsciously shaped
by app feedback, often at the expense of personal autonomy, while real-time
feedback minimally influences professional or social interactions. The study
shows that data-driven feedback loops deliver not only motivational benefits
but also psychological challenges. To mitigate these risks, users should
establish boundaries regarding their use of technology to prevent burnout and
addiction, while developers need to refine feedback mechanisms to reduce
cognitive load and foster more inclusive participation. Future research should
focus on designing feedback mechanisms that promote well-being without
compromising individual freedom or increasing social comparison.",http://arxiv.org/abs/2411.09706v1,2024-10-30T17:11:30Z,Psychotechnologies & Behavioral Capture
Technostress,"Technostress and Resistance to Change in Maritime Digital
  Transformation: A Focused Review","The maritime industry is undergoing a significant digital transformation (DT)
to enhance efficiency and sustainability. This focused review investigates the
current state of literature on technostress and resistance to change among
seafarers as they adapt to new digital technologies. By critically reviewing a
focused selection of peer-reviewed articles, we identify the main themes and
trends within maritime research on DT. Findings indicate that while mental
health issues are a predominant concern, this is yet to also be investigated in
the context of new technology introduction in an industry that is already
setting seafarers under pressure. Additionally, change management is not
addressed, and DT is limited to specific functionalities rather than embracing
broad work practice transformations",http://arxiv.org/abs/2408.17408v1,2024-08-30T16:54:17Z,General Tech & Society
Technostress,"Spiritual Intelligence's Role in Reducing Technostress through Ethical
  Work Climates","This study explores the impact of spiritual intelligence (SI) on
technostress, with a focus on the mediating role of the ethical environment. In
an era where technological advancements continually reshape our work and
personal lives, understanding the interplay between human intelligence,
well-being, and ethics within organizations is increasingly significant.
Spiritual intelligence, transcending traditional cognitive and emotional
intelligences, emphasizes understanding personal meaning and values. This paper
investigates how higher levels of SI enable individuals to integrate technology
into their lives without undue stress, and how a robust ethical environment
within organizations supports and amplifies these benefits. Through a
comprehensive review of literature, empirical research, and detailed analysis,
the study highlights the protective role of SI against technostress and the
significant influence of an ethical climate in enhancing this effect. The
findings offer valuable insights for organizational strategies aimed at
promoting a harmonious, stress-free workplace environment.",http://arxiv.org/abs/2401.03658v1,2024-01-08T04:05:15Z,General Tech & Society
Technostress,"Technostress and Job Performance: Understanding the Negative Impacts and
  Strategic Responses in the Workplace","This study delves into the increasingly pertinent issue of technostress in
the workplace and its multifaceted impact on job performance. Technostress,
emerging from the rapid integration of technology in professional settings, is
identified as a significant stressor affecting employees across various
industries. The research primarily focuses on the ways in which technostress
influences job performance, both negatively and positively, depending on the
context and individual coping mechanisms. Through a blend of qualitative and
quantitative methodologies, including surveys and in-depth interviews, the
study examines the experiences of employees from diverse sectors. It highlights
how technostress manifests in different forms: from anxiety and frustration due
to constant connectivity to the pressure of adapting to new technologies. The
paper also explores the dual role of technology as both a facilitator and a
hindrance in the workplace.
  Significant findings indicate that technostress adversely impacts job
performance, leading to decreased productivity, diminished job satisfaction,
and increased turnover intentions. However, the study also uncovers that
strategic interventions, such as training programs, supportive leadership, and
fostering a positive technological culture, can mitigate these negative
effects. These interventions not only help in managing technostress but also in
harnessing the potential of technology for enhanced job performance.
  Furthermore, the research proposes a model outlining the relationship between
technostress, coping mechanisms, and job performance. This model serves as a
framework for organizations to understand and address the challenges posed by
technostress. The study concludes with recommendations for future research,
particularly in exploring the long-term effects of technostress and the
efficacy of various coping strategies.",http://arxiv.org/abs/2311.07072v1,2023-11-13T04:38:16Z,General Tech & Society
Technostress,"Examining the Influence of Job Satisfaction on Individual Innovation and
  Its Components: Considering the Moderating Role of Technostress","Background: Employee innovation is a crucial aspect of organizations in the
current era. Therefore, studying the factors influencing individual innovation
is vital and unavoidable. Undoubtedly, job satisfaction is a significant
variable in management sciences. Nowadays, all organizations are interconnected
with technology. Objective: This research explores the relationship between job
satisfaction and individual innovation, including its components, and the
moderating role of technostress. Research Method: This study, in terms of
purpose, is applied, and in terms of data collection method, it is a
descriptive survey. Data collection tools included the Technostress Inventory
by Tarafdar and colleagues (2007), Janssen's Individual Innovation
Questionnaire (2000), and the Job Satisfaction Survey (JSS) by Spector (1994).
The validity and reliability of these questionnaires were confirmed. The sample
size for this study was 215, and data analysis was performed using SPSS and
SMART-PLS software. Findings: Job satisfaction has a significant and positive
relationship with individual innovation, idea generation, idea promotion, and
idea implementation. Technostress moderates the relationship between job
satisfaction and individual innovation, as well as idea generation and idea
promotion. However, technostress does not play a moderating role in the
relationship between job satisfaction and idea implementation. Conclusion:
Based on the obtained results, organizations should take necessary measures to
increase job satisfaction and reduce technostress among their employees.",http://arxiv.org/abs/2310.13861v1,2023-10-20T23:53:36Z,General Tech & Society
Epigenetics,Hopfield Networks as Models of Emergent Function in Biology,"Hopfield models, originally developed to study memory retrieval in neural
networks, have become versatile tools for modeling diverse biological systems
in which function emerges from collective dynamics. In this review, we provide
a pedagogical introduction to both classical and modern Hopfield networks from
a biophysical perspective. After presenting the underlying mathematics, we
build physical intuition through three complementary interpretations of
Hopfield dynamics: as noise discrimination, as a geometric construction
defining a natural coordinate system in pattern space, and as gradient-like
descent on an energy landscape. We then survey recent applications of Hopfield
networks a variety of biological setting including cellular differentiation and
epigenetic memory, molecular self-assembly, and spatial neural representations.",http://arxiv.org/abs/2506.13076v1,2025-06-16T03:48:49Z,General Tech & Society
